(written by ASE)

1152 atoms
2 atom types

0.0 32.586 xlo xhi
0.0 32.586 ylo yhi
0.0 80.0 zlo zhi

Atoms # charge

1 1 0.0 0.000000 0.000000 0.000000
2 1 0.0 0.000000 2.715500 2.715500
3 1 0.0 2.715500 0.000000 2.715500
4 1 0.0 2.715500 2.715500 0.000000
5 1 0.0 1.357750 1.357750 1.357750
6 1 0.0 1.357750 4.073250 4.073250
7 1 0.0 4.073250 1.357750 4.073250
8 1 0.0 4.073250 4.073250 1.357750
9 1 0.0 0.000000 0.000000 5.431000
10 1 0.0 0.000000 2.715500 8.146500
11 1 0.0 2.715500 0.000000 8.146500
12 1 0.0 2.715500 2.715500 5.431000
13 1 0.0 1.357750 1.357750 6.788750
14 1 0.0 1.357750 4.073250 9.504250
15 1 0.0 4.073250 1.357750 9.504250
16 1 0.0 4.073250 4.073250 6.788750
17 1 0.0 0.000000 0.000000 10.862000
18 1 0.0 0.000000 2.715500 13.577500
19 1 0.0 2.715500 0.000000 13.577500
20 1 0.0 2.715500 2.715500 10.862000
21 1 0.0 1.357750 1.357750 12.219750
22 1 0.0 1.357750 4.073250 14.935250
23 1 0.0 4.073250 1.357750 14.935250
24 1 0.0 4.073250 4.073250 12.219750
25 1 0.0 0.000000 0.000000 16.293000
26 1 0.0 0.000000 2.715500 19.008500
27 1 0.0 2.715500 0.000000 19.008500
28 1 0.0 2.715500 2.715500 16.293000
29 1 0.0 1.357750 1.357750 17.650750
30 1 0.0 1.357750 4.073250 20.366250
31 1 0.0 4.073250 1.357750 20.366250
32 1 0.0 4.073250 4.073250 17.650750
33 1 0.0 0.000000 5.431000 0.000000
34 1 0.0 0.000000 8.146500 2.715500
35 1 0.0 2.715500 5.431000 2.715500
36 1 0.0 2.715500 8.146500 0.000000
37 1 0.0 1.357750 6.788750 1.357750
38 1 0.0 1.357750 9.504250 4.073250
39 1 0.0 4.073250 6.788750 4.073250
40 1 0.0 4.073250 9.504250 1.357750
41 1 0.0 0.000000 5.431000 5.431000
